# Wavelength_[A] S/N_Aperture S_Aperture_[e] N_Aperture_[e] SKY_Aperture_[e] S/N_Aperture_Coadd S_Aperture_Coadd_[e] N_Aperture_Coadd_[e] SKY_Aperture_Coadd_[e]
3774.500 0.13 1.50 11.46 3.23 0.23 4.49 19.84 9.70
3775.000 0.13 1.53 11.46 3.24 0.23 4.58 19.84 9.73
3775.500 0.14 1.56 11.46 3.25 0.24 4.68 19.85 9.75
3776.000 0.14 1.60 11.46 3.26 0.24 4.79 19.85 9.77
3776.500 0.14 1.63 11.46 3.28 0.25 4.90 19.86 9.83
3777.000 0.15 1.67 11.47 3.40 0.25 5.02 19.87 10.21
3777.500 0.15 1.71 11.49 3.77 0.26 5.13 19.90 11.30
3778.000 0.15 1.75 11.53 4.71 0.26 5.24 19.97 14.14
3778.500 0.15 1.79 11.57 5.51 0.27 5.36 20.03 16.52
3779.000 0.16 1.82 11.56 5.33 0.27 5.47 20.02 15.98
3779.500 0.16 1.86 11.53 4.50 0.28 5.57 19.96 13.50
3780.000 0.16 1.89 11.49 3.62 0.28 5.66 19.90 10.87
3780.500 0.17 1.91 11.48 3.36 0.29 5.73 19.88 10.08
3781.000 0.17 1.92 11.48 3.30 0.29 5.77 19.88 9.89
3781.500 0.17 1.94 11.48 3.29 0.29 5.81 19.88 9.86
3782.000 0.17 1.95 11.48 3.29 0.29 5.85 19.88 9.87
3782.500 0.17 1.96 11.48 3.29 0.30 5.89 19.88 9.88
3783.000 0.17 1.98 11.48 3.29 0.30 5.93 19.88 9.88
3783.500 0.17 1.99 11.48 3.30 0.30 5.96 19.88 9.89
3784.000 0.17 2.00 11.48 3.30 0.30 6.00 19.88 9.90
3784.500 0.17 2.01 11.48 3.30 0.30 6.02 19.89 9.91
3785.000 0.17 2.01 11.48 3.31 0.30 6.03 19.89 9.92
3785.500 0.17 2.00 11.48 3.31 0.30 5.99 19.89 9.92
3786.000 0.17 1.98 11.48 3.31 0.30 5.94 19.88 9.92
3786.500 0.17 1.96 11.48 3.30 0.30 5.87 19.88 9.91
3787.000 0.17 1.93 11.48 3.30 0.29 5.80 19.88 9.90
3787.500 0.17 1.91 11.48 3.29 0.29 5.73 19.88 9.88
3788.000 0.16 1.89 11.47 3.29 0.28 5.66 19.88 9.86
3788.500 0.16 1.86 11.47 3.28 0.28 5.58 19.87 9.84
3789.000 0.16 1.84 11.47 3.27 0.28 5.51 19.87 9.82
3789.500 0.16 1.81 11.47 3.27 0.27 5.44 19.87 9.80
3790.000 0.16 1.79 11.47 3.26 0.27 5.36 19.87 9.79
3790.500 0.15 1.75 11.47 3.26 0.26 5.26 19.86 9.77
3791.000 0.15 1.72 11.47 3.25 0.26 5.16 19.86 9.75
3791.500 0.15 1.69 11.46 3.24 0.25 5.06 19.86 9.73
3792.000 0.14 1.65 11.46 3.24 0.25 4.96 19.85 9.71
3792.500 0.14 1.62 11.46 3.23 0.24 4.86 19.85 9.69
3793.000 0.14 1.58 11.46 3.22 0.24 4.75 19.85 9.67
3793.500 0.14 1.55 11.46 3.22 0.23 4.65 19.84 9.65
3794.000 0.13 1.52 11.46 3.21 0.23 4.55 19.84 9.63
3794.500 0.13 1.49 11.45 3.20 0.22 4.46 19.84 9.61
3795.000 0.13 1.46 11.45 3.20 0.22 4.39 19.84 9.59
3795.500 0.13 1.45 11.45 3.19 0.22 4.36 19.84 9.58
3796.000 0.13 1.45 11.45 3.19 0.22 4.36 19.84 9.57
3796.500 0.13 1.46 11.45 3.19 0.22 4.37 19.84 9.57
3797.000 0.13 1.46 11.45 3.19 0.22 4.38 19.84 9.58
3797.500 0.13 1.47 11.45 3.20 0.22 4.40 19.84 9.59
3798.000 0.13 1.47 11.45 3.20 0.22 4.41 19.84 9.61
3798.500 0.13 1.47 11.45 3.21 0.22 4.42 19.84 9.64
3799.000 0.13 1.48 11.46 3.27 0.22 4.44 19.84 9.80
3799.500 0.13 1.49 11.46 3.42 0.22 4.47 19.85 10.25
3800.000 0.13 1.51 11.48 3.88 0.23 4.53 19.89 11.64
3800.500 0.13 1.54 11.50 4.28 0.23 4.62 19.92 12.83
3801.000 0.14 1.58 11.50 4.27 0.24 4.75 19.93 12.80
3801.500 0.14 1.63 11.49 3.88 0.25 4.90 19.90 11.63
3802.000 0.15 1.68 11.47 3.42 0.25 5.04 19.87 10.27
3802.500 0.15 1.73 11.47 3.30 0.26 5.19 19.86 9.89
3803.000 0.16 1.78 11.47 3.26 0.27 5.34 19.86 9.78
3803.500 0.16 1.83 11.47 3.26 0.28 5.49 19.87 9.77
3804.000 0.16 1.88 11.47 3.26 0.28 5.63 19.87 9.79
3804.500 0.17 1.93 11.48 3.27 0.29 5.78 19.88 9.80
3805.000 0.17 1.97 11.48 3.27 0.30 5.92 19.88 9.81
3805.500 0.18 2.02 11.48 3.28 0.30 6.05 19.88 9.83
3806.000 0.18 2.06 11.48 3.28 0.31 6.18 19.89 9.83
3806.500 0.18 2.10 11.48 3.28 0.32 6.30 19.89 9.84
3807.000 0.19 2.14 11.49 3.28 0.32 6.43 19.89 9.83
3807.500 0.19 2.18 11.49 3.27 0.33 6.55 19.90 9.82
3808.000 0.19 2.23 11.49 3.27 0.34 6.68 19.90 9.81
3808.500 0.20 2.27 11.49 3.27 0.34 6.81 19.90 9.81
3809.000 0.20 2.31 11.49 3.27 0.35 6.93 19.91 9.80
3809.500 0.20 2.35 11.49 3.26 0.35 7.05 19.91 9.79
3810.000 0.21 2.38 11.50 3.26 0.36 7.15 19.91 9.78
3810.500 0.21 2.41 11.50 3.26 0.36 7.22 19.91 9.77
3811.000 0.21 2.43 11.50 3.25 0.37 7.28 19.91 9.76
3811.500 0.21 2.44 11.50 3.25 0.37 7.33 19.91 9.75
3812.000 0.21 2.46 11.50 3.25 0.37 7.38 19.92 9.74
3812.500 0.22 2.48 11.50 3.24 0.37 7.43 19.92 9.73
3813.000 0.22 2.49 11.50 3.24 0.38 7.48 19.92 9.72
3813.500 0.22 2.51 11.50 3.24 0.38 7.52 19.92 9.71
3814.000 0.22 2.52 11.50 3.23 0.38 7.57 19.92 9.70
3814.500 0.22 2.54 11.50 3.23 0.38 7.61 19.92 9.69
3815.000 0.22 2.55 11.50 3.23 0.38 7.64 19.92 9.69
3815.500 0.22 2.55 11.50 3.23 0.38 7.65 19.92 9.70
3816.000 0.22 2.55 11.50 3.24 0.38 7.64 19.92 9.72
3816.500 0.22 2.54 11.50 3.24 0.38 7.63 19.92 9.72
3817.000 0.22 2.54 11.50 3.22 0.38 7.62 19.92 9.67
3817.500 0.22 2.53 11.50 3.21 0.38 7.60 19.92 9.62
3818.000 0.22 2.53 11.50 3.19 0.38 7.59 19.92 9.57
3818.500 0.22 2.52 11.50 3.18 0.38 7.57 19.92 9.54
3819.000 0.22 2.52 11.50 3.17 0.38 7.56 19.91 9.51
3819.500 0.22 2.51 11.50 3.16 0.38 7.53 19.91 9.49
3820.000 0.22 2.50 11.50 3.15 0.38 7.49 19.91 9.46
3820.500 0.22 2.48 11.49 3.14 0.37 7.43 19.91 9.43
3821.000 0.21 2.45 11.49 3.14 0.37 7.35 19.91 9.42
3821.500 0.21 2.42 11.49 3.14 0.36 7.26 19.90 9.43
3822.000 0.21 2.39 11.49 3.18 0.36 7.17 19.90 9.53
3822.500 0.21 2.36 11.49 3.21 0.36 7.08 19.90 9.62
3823.000 0.20 2.33 11.49 3.20 0.35 6.99 19.90 9.61
3823.500 0.20 2.30 11.49 3.16 0.35 6.90 19.90 9.47
3824.000 0.20 2.27 11.48 3.10 0.34 6.81 19.89 9.31
3824.500 0.19 2.24 11.48 3.08 0.34 6.71 19.89 9.24
3825.000 0.19 2.20 11.48 3.07 0.33 6.60 19.88 9.20
3825.500 0.19 2.16 11.48 3.06 0.33 6.47 19.88 9.17
3826.000 0.18 2.11 11.47 3.05 0.32 6.34 19.87 9.15
3826.500 0.18 2.06 11.47 3.05 0.31 6.19 19.87 9.16
3827.000 0.18 2.02 11.47 3.11 0.30 6.05 19.87 9.32
3827.500 0.17 1.97 11.48 3.28 0.30 5.90 19.88 9.84
3828.000 0.17 1.92 11.49 3.51 0.29 5.76 19.89 10.52
3828.500 0.16 1.87 11.49 3.67 0.28 5.61 19.90 11.01
3829.000 0.16 1.82 11.48 3.47 0.28 5.47 19.88 10.42
3829.500 0.15 1.78 11.47 3.23 0.27 5.33 19.86 9.70
